Name,RA(deg),DEC(deg),MJD,SN_Redshift
2017ctt,232.50818805900002,14.9562627474,57850.575995400075,0.09
2017cud,145.071375,-3.29185,57843.89299769978,0.068
2017cug,119.45783300000001,-21.685839,57847.31499999993,0.024
2017cuh,83.71770500000001,-20.046705,57839.248993100126,0.053
2017cxo,168.20308300000002,31.920889000000003,57849.425995400175,0.037000000000000005
2017dae,144.150833,-63.948389,57854.181990699835,0.0098
2017ddy,283.365929996,28.9516959131,57858.55599540007,0.075
2017ddz,193.81618087299998,-17.4820368699,57858.40799769992,0.055999999999999994
2017deu,312.45354199999997,-25.700711,57872.226666700095,0.019804
2017dez,199.089991562,27.6931499937,57859.4839931,0.05
2017dfo,298.068125,-26.174089000000002,57861.774999999914,0.048
2017dfq,140.15838247899998,-29.9507910249,57862.1082175998,0.036000000000000004
2017dft,165.803792,11.077811,57863.252997700125,0.021358000000000002
2017dfu,164.383593333,-14.835016666700001,57859.412997699816,0.025
2017dgi,124.78835500000001,-16.495697500000002,57859.29000000004,0.045
2017dhh,21.986207999999998,-50.687331,57865.56899309997,0.064
2017dhl,321.00908300000003,-53.56533100000001,57865.54599539982,0.062
2017dhm,286.715958,-36.958760999999996,57865.52799770003,0.018000000000000002
2017dhp,170.83130121899998,5.79990547403,57865.27099539992,0.067
2017dia,166.707734778,14.487780558599999,57863.25899309991,0.052000000000000005
2017dib,178.559896765,11.7612762977,57863.26599540003,0.052000000000000005
2017dij,86.696958,-16.783417,57863.979999999974,0.006999999999999999
2017dik,285.942375,-42.7701,57866.78199069993,0.049
2017dil,199.37021000000001,3.04837666667,57868.50499999988,0.111
2017dip,192.256330188,5.82713036325,57859.310000000056,0.059000000000000004
2017dir,201.84588032599999,-2.80554483013,57864.513993099805,0.096
2017diy,145.926024,22.795504,57869.395000000026,0.064
2017djl,208.200720647,12.0396914934,57890.411990699824,0.079
2017djm,210.540763333,22.8723366667,57869.59299769998,0.065
2017djn,231.9955,42.846861,57908.375995399896,0.01859
2017djt,24.062832999999998,-65.174931,57846.819999999825,0.07
2017dju,129.7296375,52.82173,57870.31899309997,0.044000000000000004
2017djz,193.084917,-15.960331,57871.44699069997,0.044000000000000004
2017dmc,181.709653333,-24.4684,57863.43399310019,0.05
2017doq,194.358125,-17.863489,57863.475000000086,0.05
2017dps,132.8389325,22.944342499999998,57865.35699070013,0.08800000000000001
2017dws,153.80623559,0.956269803566,57867.29499999993,0.07200000000000001
2017eax,205.49000499,-4.370288331459999,57869.37099540001,0.07400000000000001
2017eaz,204.16675,-33.967019,57874.270000000026,0.012
2017ebp,263.108583,7.063161,57894.50458330009,0.005554
2017erp,241.735125,15.679219,57899.477997700225,0.038
2017esb,303.675235,-8.7469125,57904.56599539983,0.083
2017euz,14.278082999999999,8.97255,58015.536990699824,0.031
2017evj,150.077374986,54.5397422446,57907.272997700136,0.005247
2017fut,337.428659364,11.804868342999999,57980.50799770001,0.081
2017gap,14.693956008199999,13.6543399265,58015.537997699816,0.039
2017gcy,225.315481667,58.061580000000006,57972.31599539983,0.07400000000000001
2017gdg,255.838042,45.413539,57977.328993100215,0.033
2017gdw,274.53925,18.090189000000002,57976.117997699876,0.027000000000000003
2017gdx,92.799125,-33.350061,57980.399999999914,0.033
2017gea,96.139208,-15.678181,57976.55899310019,0.04
2017gfd,5.2144900000000005,-15.5202875,57979.560000000056,0.061
2017gfe,351.628185625,-24.464554999999997,57977.51500000013,0.08900000000000001
2017gfg,21.1791471613,-40.610022932199996,57977.54999999981,0.087
2017gfl,41.238792,34.094481,57982.58999999985,0.031795
2017gfm,340.45844750000003,-26.1072498371,57979.435000000056,0.073
2017gfn,26.807021540300003,-28.153896186599997,57974.51599540003,0.057999999999999996
2017gfy,19.3936374729,-25.775627231999998,57974.50199070013,0.06
2017ggg,239.409495438,-22.9521200312,57983.25799770001,0.1
2017ghl,333.143458,38.6771,57984.94799769996,0.07200000000000001
2017ghm,328.82706411099997,-26.3130167544,57978.412997699816,0.077
2017gig,7.896290121719999,-26.187963258499998,57981.5259953998,0.063
2017git,352.52558666699997,5.69304333333,57986.52899309992,0.114
2017gjd,272.943042,0.8578889999999999,57987.51103009983,0.023
2017gjn,157.009083,-42.10575,57987.02699070005,0.018000000000000002
2017gkt,84.132,16.642389,57991.486597222276,0.018000000000000002
2017glu,28.685302754699997,-7.004087098360001,57987.54099539992,0.079
2017goz,40.951792,32.526069,57994.85991899995,0.015
2017gqr,354.1075,27.398290000000003,57992.34998840001,0.03
2017grw,32.116583,6.387869,58001.04472000013,0.011755
2017gsz,39.992875,-0.530111,57998.577997699846,0.051
2017gtc,3.2135813662599997,-22.861751178800002,58010.463993099984,0.05
2017gtw,47.6339016667,46.2484291667,58004.556990699835,0.027999999999999997
2017guc,240.250841667,76.126725,58008.270000000026,0.0499
2017guh,257.68807357099996,32.8783192857,58008.225000000086,0.0707
2017guv,3.01616461218,1.10333702435,58011.460995399866,0.086
2017gvp,34.6505358333,5.25426333333,58010.48899309988,0.09
2017gwy,75.80476999999999,-22.8331,58014.310000000056,0.015
2017gxe,52.392666999999996,10.973189,58019.482997700106,0.016
2017haf,45.556083,3.810289,58014.54799770005,0.0324
2017hbv,136.183417,37.228061,58024.23499999987,0.0442
2017hcx,134.054583,32.509831,58025.41399310018,0.0609
2017hcz,237.823565833,-15.452967499999998,58024.21599540021,0.038
2017hef,297.78139182,50.5631550763,58028.20799770019,0.032
2017hgk,2.3152552,5.2965176,58018.423993099954,0.08800000000000001
2017hhi,354.651993492,-11.3915291857,58064.30599540007,0.0642
2017hju,26.070458,12.25515,58048.450000000186,0.0392
2017hjy,158.32333300000002,16.407539,58037.49099540013,0.045
2017hkk,59.439659272200004,15.9310652721,58074.5,0.05
2017hmz,39.010708,43.472061,58067.43299769983,0.006999999999999999
2017hol,326.16275,7.0244,58045.22199069987,0.0619
2017hom,154.33670800000002,63.859731000000004,58044.64099540003,0.0398
2017hoo,58.888464168999995,33.2666950256,58055.391990699805,0.073
2017hop,105.958545455,13.2715918182,58043.649999999914,0.043
2017hou,65.41915042859999,-3.54111543573,58065.46899309987,0.03
2017hpk,314.93325,-28.98095,58047.29299770017,0.09
2017hpl,41.5874075,-14.685282500000001,58049.453993100215,0.1271
2017hrk,32.3601216667,-42.6877166667,58049.44799769996,0.052000000000000005
2017hya,6.525042,25.721339,58049.412997699816,0.034
2017hyx,107.1033225,-23.78942625,58053.52799770003,0.044000000000000004
2017ifb,350.08778,-34.62448,58067.10999999987,0.052000000000000005
2017igr,14.5342,-10.12045,58067.149999999914,0.051
2017igy,71.78819,-16.345029999999998,58068.319999999825,0.038
2017ihg,104.91286331100001,44.9002287534,58067.5959954001,0.127
2017ihl,129.421994789,53.4612256825,58067.643993100144,0.09
2017ijk,23.305167,-17.525489,58071.36199070001,0.046
2017ijq,355.7551575,18.99455875,58067.344988400124,0.07200000000000001
2017ijr,313.377853333,-10.0530095238,58066.25499999988,0.038
2017ijw,175.706875,77.37021899999999,58075.58999999985,0.006
2017ile,64.68145799999999,26.931392,58075.61151620001,0.025
2017ilf,38.0431397811,4.07775070682,58074.39899310004,0.073
2017ili,134.36928999999998,28.616640000000004,58076.430000000175,0.048
2017iln,147.330833,10.535061,58070.643993100144,0.081
2017imd,111.07179199999999,10.266611,58077.502997700125,0.076
2017img,116.712792,15.399119,58077.49799769978,0.04
2017imw,318.470708,2.220269,58084.79299770017,0.047
2017imx,162.970917,51.008069,58078.6869212999,0.0276
2017inu,83.52990799999999,-29.611389000000003,58079.330000000075,0.036000000000000004
2017itp,13.274083,-38.943689,58109.48199070013,0.043
2017itw,139.767663924,5.88685162123,58079.59199069999,0.046
2017iui,149.26913000000002,-35.180944000000004,58081.56299770017,0.035
2017ivs,161.805375,0.203811,58116.55399309984,0.035
2017ivz,151.629292,-16.486881,58089.16799770017,0.079
2017iya,181.43983300000002,10.398169000000001,58100.64000000013,0.027999999999999997
2017izu,32.19945,-44.666470000000004,58103.069999999825,0.08
2017jdy,50.866417,-41.305569,58102.05299769994,0.07
2017kz,128.457583,-25.040160999999998,57767.320995400194,0.06
